Date,Risk Free Rate
2013-08-23,0.0009959101919596203
2013-08-26,0.001005331584911764
2013-08-27,0.0009968499215847932
2013-08-28,0.001001778229709286
2013-08-29,0.0009832907094162254
2013-08-30,0.0009748529932264913
2013-09-02,0.0009916453124746729
2013-09-03,0.0009695616860246755
2013-09-04,0.0009724393419968387
2013-09-05,0.000968151496355163
2013-09-06,0.0009500870883966191
2013-09-09,0.0009470460758907917
2013-09-10,0.0009430308739753226
2013-09-11,0.0009337767701676919
2013-09-12,0.0009004716033288993
2013-09-13,0.0008895692440218484
2013-09-16,0.0008722952512197717
2013-09-17,0.0008607407267486985
2013-09-18,0.0008886991517575795
2013-09-19,0.0008968956688323496
2013-09-20,0.0008863820214655374
2013-09-23,0.000918833272761479
2013-09-24,0.0009028430827658374
2013-09-25,0.0009319636315599163
