Date,Volume,Price
2014-01-06,648.0,5.115
2014-01-07,1940.0,5.105
2014-01-08,6631.0,5.074999999999999
2014-01-09,384.0,5.005000000000001
2014-01-10,776.0,4.955
2014-01-13,741.0,5.03
2014-01-14,945.0,5.27
2014-01-15,744.0,5.359999999999999
2014-01-16,2056.0,5.55
2014-01-17,1906.0,5.57
2014-01-20,825.0,5.495
2014-01-21,524.0,5.445
2014-01-22,2129.0,5.605
2014-01-23,1335.0,5.545
2014-01-24,2300.0,5.635
2014-01-27,1279.0,5.985
2014-01-28,888.0,6.07
2014-01-29,1667.0,6.125
2014-01-30,5743.0,6.205
2014-01-31,2845.0,6.205
2014-02-03,3008.0,6.24
2014-02-04,832.0,6.5
2014-02-05,3014.0,6.74
2014-02-06,4425.0,6.95
2014-02-07,1071.0,7.1899999999999995
2014-02-10,1562.0,7.13
2014-02-11,1589.0,7.025
2014-02-12,878.0,7.125
2014-02-13,7263.0,7.050000000000001
2014-02-14,3596.0,7.205
2014-02-17,377.0,7.52
2014-02-18,734.0,7.525
2014-02-19,9992.0,7.555
2014-02-20,3828.0,7.775
2014-02-21,2171.0,7.825
2014-02-24,999.0,7.914999999999999
2014-02-25,5377.0,7.279999999999999
2014-02-26,4239.0,7.11
2014-02-27,5815.0,7.265000000000001
2014-02-28,1610.0,7.645
2014-03-03,1716.0,7.68
2014-03-04,7134.0,7.529999999999999
2014-03-05,1480.0,7.555
2014-03-06,471.0,7.52
2014-03-07,1600.0,7.545
2014-03-10,1426.0,7.675
2014-03-11,4566.0,7.5600000000000005
2014-03-12,4103.0,7.380000000000001
2014-03-13,1372.0,7.154999999999999
2014-03-14,5545.0,6.985
2014-03-17,4219.0,6.695
2014-03-18,2602.0,6.43
2014-03-19,6561.0,6.555
2014-03-20,3171.0,6.625
2014-03-21,5037.0,6.800000000000001
2014-03-24,3470.0,6.609999999999999
2014-03-25,2924.0,6.4350000000000005
2014-03-26,4962.0,6.41
2014-03-27,17118.0,5.98
2014-03-28,10917.0,5.195
2014-03-31,10802.0,4.9350000000000005
2014-04-01,2675.0,5.305
2014-04-02,4696.0,5.305
2014-04-03,1760.0,5.23
2014-04-04,2754.0,5.145
2014-04-07,3958.0,5.4
2014-04-08,3324.0,5.359999999999999
2014-04-09,1371.0,5.32
2014-04-10,3557.0,5.52
2014-04-11,1494.0,5.75
2014-04-14,1660.0,5.74
2014-04-15,2022.0,5.83
2014-04-16,1125.0,6.005
2014-04-17,1258.0,5.970000000000001
2014-04-22,853.0,6.195
2014-04-23,518.0,6.175
2014-04-24,1795.0,6.275
2014-04-25,7572.0,5.805
2014-04-28,1774.0,5.725
2014-04-29,3029.0,5.87
2014-04-30,1195.0,5.92
2014-05-01,818.0,5.885
2014-05-02,893.0,5.75
2014-05-05,703.0,5.62
2014-05-06,874.0,5.705
2014-05-07,2574.0,5.65
2014-05-08,569.0,5.6
2014-05-09,1714.0,5.675
2014-05-12,1524.0,5.789999999999999
2014-05-13,2525.0,5.755
2014-05-14,1808.0,5.640000000000001
2014-05-15,5385.0,5.390000000000001
2014-05-16,724.0,5.16
2014-05-19,1207.0,5.155
2014-05-20,2622.0,5.17
2014-05-21,1224.0,5.465
2014-05-22,1804.0,5.63
2014-05-23,2102.0,5.59
2014-05-26,127.0,5.505
2014-05-27,675.0,5.575
2014-05-28,2894.0,5.65
2014-05-29,2663.0,5.655
2014-05-30,604.0,5.54
2014-06-02,2234.0,5.49
2014-06-03,3097.0,5.73
2014-06-04,1950.0,5.859999999999999
2014-06-05,2468.0,5.925000000000001
2014-06-06,1091.0,5.96
2014-06-09,231.0,5.98
2014-06-10,560.0,5.925
2014-06-11,2291.0,5.895
2014-06-12,1549.0,5.92
2014-06-13,2465.0,6.125
2014-06-16,1734.0,6.109999999999999
2014-06-17,955.0,6.12
2014-06-18,605.0,6.155
2014-06-19,531.0,6.035
2014-06-20,2756.0,6.0649999999999995
2014-06-23,1710.0,6.18
2014-06-24,5157.0,6.215
2014-06-25,513.0,6.15
2014-06-26,1085.0,6.16
2014-06-27,304.0,6.195
2014-06-30,2121.0,6.25
2014-07-01,1844.0,6.335000000000001
2014-07-02,588.0,6.475
2014-07-03,1313.0,6.44
2014-07-04,6187.0,6.205
2014-07-07,2270.0,5.96
2014-07-08,621.0,6.0649999999999995
2014-07-09,407.0,6.17
2014-07-10,1940.0,6.1
2014-07-11,1435.0,6.095
2014-07-14,1527.0,6.18
2014-07-15,3322.0,6.295
2014-07-16,2172.0,6.359999999999999
2014-07-17,6767.0,6.465
2014-07-18,7169.0,6.4350000000000005
2014-07-21,2762.0,6.4350000000000005
2014-07-22,4187.0,6.505
2014-07-23,735.0,6.54
2014-07-24,5982.0,6.484999999999999
2014-07-25,4204.0,6.455
2014-07-28,1205.0,6.535
2014-07-29,1564.0,6.47
2014-07-30,1301.0,6.445
2014-07-31,1687.0,6.525
2014-08-01,1594.0,6.605
2014-08-04,483.0,6.62
2014-08-05,479.0,6.539999999999999
2014-08-06,722.0,6.58
2014-08-07,2455.0,6.43
2014-08-08,3430.0,6.285
2014-08-11,1864.0,6.395
2014-08-12,732.0,6.46
2014-08-13,1097.0,6.505
2014-08-14,564.0,6.59
2014-08-15,901.0,6.640000000000001
2014-08-18,1767.0,6.715
2014-08-19,3743.0,6.745
2014-08-20,2365.0,6.79
2014-08-21,1603.0,6.734999999999999
2014-08-22,654.0,6.715
2014-08-25,50.0,6.68
2014-08-26,633.0,6.640000000000001
2014-08-27,970.0,6.635
2014-08-28,981.0,6.765000000000001
2014-08-29,1084.0,6.75
2014-09-01,980.0,6.71
2014-09-02,5417.0,6.74
2014-09-03,1163.0,6.6899999999999995
2014-09-04,8210.0,6.505
2014-09-05,1695.0,6.525
2014-09-08,1681.0,6.58
2014-09-09,1352.0,6.495
2014-09-10,1172.0,6.395
2014-09-11,479.0,6.415
2014-09-12,2382.0,6.37
2014-09-15,1145.0,6.225
2014-09-16,2385.0,6.105
2014-09-17,2996.0,6.095000000000001
2014-09-18,1227.0,6.195
2014-09-19,3323.0,6.275
2014-09-22,3162.0,6.295
2014-09-23,2935.0,6.04
2014-09-24,809.0,5.994999999999999
2014-09-25,386.0,6.039999999999999
2014-09-26,428.0,6.105
2014-09-29,2163.0,6.055
2014-09-30,2043.0,6.005
2014-10-01,678.0,6.045
2014-10-02,1643.0,5.945
2014-10-03,2959.0,5.88
2014-10-06,1348.0,5.875
2014-10-07,941.0,5.925000000000001
2014-10-08,2255.0,6.095000000000001
2014-10-09,2114.0,6.29
2014-10-10,1078.0,6.305
2014-10-13,1339.0,6.25
2014-10-14,1718.0,6.279999999999999
2014-10-15,1843.0,6.324999999999999
2014-10-16,650.0,6.425000000000001
2014-10-17,2844.0,6.425000000000001
2014-10-20,3558.0,6.37
2014-10-21,4269.0,6.4399999999999995
2014-10-22,601.0,6.49
2014-10-23,2674.0,6.529999999999999
2014-10-24,688.0,6.66
2014-10-27,373.0,6.615
2014-10-28,2263.0,6.48
2014-10-29,2029.0,6.535
2014-10-30,782.0,6.67
2014-10-31,2274.0,6.62
2014-11-03,2143.0,6.7
2014-11-04,2430.0,6.78
2014-11-05,2212.0,6.82
2014-11-06,1070.0,6.890000000000001
2014-11-07,2135.0,6.9399999999999995
2014-11-10,1040.0,6.98
2014-11-11,1479.0,7.01
2014-11-12,2867.0,7.025
2014-11-13,2480.0,7.050000000000001
2014-11-14,1844.0,6.9399999999999995
2014-11-17,2739.0,7.04
2014-11-18,3531.0,7.234999999999999
2014-11-19,1130.0,7.275
2014-11-20,2353.0,7.23
2014-11-21,2581.0,7.234999999999999
2014-11-24,1125.0,7.279999999999999
2014-11-25,1913.0,7.359999999999999
2014-11-26,2176.0,7.45
2014-11-27,2488.0,7.369999999999999
2014-11-28,1190.0,7.305
2014-12-01,2702.0,7.285
2014-12-02,4982.0,7.21
2014-12-03,5615.0,7.09
2014-12-04,4405.0,7.095000000000001
2014-12-05,1017.0,6.949999999999999
2014-12-08,1349.0,6.875
2014-12-09,1732.0,6.915
2014-12-10,2421.0,6.890000000000001
2014-12-11,2491.0,6.9
2014-12-12,1999.0,6.9
2014-12-15,2716.0,6.984999999999999
2014-12-16,347.0,7.3100000000000005
2014-12-17,100.0,7.37
2014-12-18,242.0,7.41
2014-12-19,891.0,7.4350000000000005
2014-12-22,16.0,7.49
2014-12-23,400.0,7.65
2014-12-24,2.0,7.785
2014-12-29,25.0,7.65
2014-12-30,375.0,7.62
2014-12-31,50.0,7.65
2015-01-02,4.0,7.425
2015-01-05,46.0,7.300000000000001
2015-01-06,379.0,7.2
2015-01-07,248.0,7.115
2015-01-08,212.0,7.13
2015-01-09,1669.0,7.075
2015-01-12,435.0,7.03
2015-01-13,1626.0,7.619999999999999
2015-01-14,290.0,7.595
2015-01-15,1015.0,7.5
2015-01-16,618.0,7.505
2015-01-19,445.0,7.585
2015-01-20,58.0,7.58
2015-01-21,1076.0,7.635
2015-01-22,1111.0,7.445
2015-01-23,2408.0,7.21
2015-01-26,888.0,7.1850000000000005
2015-01-27,264.0,7.1899999999999995
2015-01-28,632.0,7.24
2015-01-29,1163.0,7.345
2015-01-30,500.0,7.38
2015-02-02,114.0,7.465
2015-02-03,261.0,7.42
2015-02-04,123.0,7.31
2015-02-05,304.0,7.27
2015-02-06,67.0,7.279999999999999
2015-02-09,412.0,7.24
2015-02-10,6220.0,7.33
2015-02-11,448.0,7.515000000000001
2015-02-12,951.0,7.71
2015-02-13,442.0,7.845000000000001
2015-02-16,491.0,7.98
2015-02-17,1295.0,7.9
2015-02-18,419.0,7.83
2015-02-19,1404.0,7.695
2015-02-20,143.0,7.654999999999999
2015-02-23,3477.0,7.795
2015-02-24,322.0,7.915000000000001
2015-02-25,414.0,7.734999999999999
2015-02-26,1583.0,7.515000000000001
2015-02-27,450.0,7.395
2015-03-02,211.0,7.25
2015-03-03,403.0,7.07
2015-03-04,540.0,7.15
2015-03-05,680.0,7.1899999999999995
2015-03-06,1332.0,7.02
2015-03-09,840.0,6.98
2015-03-10,610.0,7.005000000000001
2015-03-11,381.0,7.035
2015-03-12,11250.0,6.825
2015-03-13,441.0,6.65
2015-03-16,316.0,6.6899999999999995
2015-03-17,4022.0,6.8100000000000005
2015-03-18,985.0,6.975
2015-03-19,134.0,6.925000000000001
2015-03-20,1063.0,7.075
2015-03-23,1186.0,7.275
2015-03-24,1212.0,7.265
2015-03-25,1082.0,7.23
2015-03-26,561.0,7.165
2015-03-27,706.0,7.09
2015-03-30,51.0,7.095
2015-03-31,281.0,7.109999999999999
2015-04-01,178.0,7.26
2015-04-02,206.0,7.4
2015-04-07,168.0,7.355
2015-04-08,110.0,7.35
2015-04-09,215.0,7.305
2015-04-10,123.0,7.199999999999999
2015-04-13,311.0,7.074999999999999
2015-04-14,93.0,7.035
2015-04-15,54.0,7.074999999999999
2015-04-16,115.0,7.130000000000001
2015-04-17,23.0,7.095000000000001
2015-04-20,1231.0,7.255
2015-04-21,571.0,7.325
2015-04-22,634.0,7.3149999999999995
2015-04-23,372.0,7.37
2015-04-24,77.0,7.550000000000001
2015-04-27,571.0,7.470000000000001
2015-04-28,252.0,7.515
2015-04-29,935.0,7.640000000000001
2015-04-30,1810.0,7.665
2015-05-01,4985.0,7.71
2015-05-04,155.0,7.800000000000001
2015-05-05,797.0,7.79
2015-05-06,3127.0,7.8100000000000005
2015-05-07,679.0,7.705
2015-05-08,353.0,7.734999999999999
2015-05-11,658.0,7.8
2015-05-12,2801.0,7.86
2015-05-13,1594.0,7.824999999999999
2015-05-14,1.0,7.79
2015-05-15,4226.0,7.795
2015-05-18,413.0,7.8149999999999995
2015-05-19,390.0,7.699999999999999
2015-05-20,1144.0,7.605
2015-05-21,2582.0,7.545
2015-05-22,2079.0,7.51
2015-05-25,1.0,7.55
2015-05-26,88.0,7.5
2015-05-27,300.0,7.42
2015-05-28,281.0,7.395
2015-05-29,1129.0,7.475
2015-06-01,583.0,7.48
2015-06-02,1009.0,7.5600000000000005
2015-06-03,1709.0,7.67
2015-06-04,6535.0,7.67
2015-06-05,1285.0,7.609999999999999
2015-06-08,132.0,7.640000000000001
2015-06-09,2210.0,7.705
2015-06-10,1130.0,7.785
2015-06-11,1664.0,7.74
2015-06-12,207.0,7.77
2015-06-15,1815.0,7.74
2015-06-16,375.0,7.68
2015-06-17,2755.0,7.645
2015-06-18,248.0,7.67
2015-06-19,6603.0,7.635
2015-06-22,477.0,7.675
2015-06-23,876.0,7.6850000000000005
2015-06-24,1016.0,7.67
2015-06-25,349.0,7.795
2015-06-26,515.0,7.76
2015-06-29,732.0,7.539999999999999
2015-06-30,1196.0,7.609999999999999
2015-07-01,418.0,7.665
2015-07-02,714.0,7.635
2015-07-03,1107.0,7.654999999999999
2015-07-06,1330.0,7.575
2015-07-07,1860.0,7.6
2015-07-08,765.0,7.654999999999999
2015-07-09,1536.0,7.67
2015-07-10,1763.0,7.77
2015-07-13,2270.0,7.9350000000000005
2015-07-14,1252.0,7.949999999999999
2015-07-15,2535.0,7.97
2015-07-16,1628.0,7.905
2015-07-17,1061.0,7.9350000000000005
2015-07-20,1974.0,8.11
2015-07-21,2330.0,8.184999999999999
2015-07-22,4059.0,8.17
2015-07-23,1681.0,8.265
2015-07-24,282.0,8.275
2015-07-27,903.0,8.24
2015-07-28,3119.0,8.24
2015-07-29,1035.0,8.25
2015-07-30,1559.0,8.18
2015-07-31,1312.0,8.115
2015-08-03,356.0,8.15
2015-08-04,425.0,8.149999999999999
2015-08-05,804.0,8.05
2015-08-06,722.0,8.05
2015-08-07,5377.0,8.01
2015-08-10,335.0,8.06
2015-08-11,3109.0,8.24
2015-08-12,1239.0,8.34
2015-08-13,1409.0,8.4
2015-08-14,1222.0,8.46
2015-08-17,1428.0,8.48
2015-08-18,675.0,8.46
2015-08-19,719.0,8.525
2015-08-20,2151.0,8.56
2015-08-21,1049.0,8.48
2015-08-24,2276.0,8.355
2015-08-25,1060.0,8.405000000000001
2015-08-26,1604.0,8.405000000000001
2015-08-27,2411.0,8.285
2015-08-28,394.0,8.295
2015-08-31,160.0,8.315
2015-09-01,668.0,8.235
2015-09-02,743.0,8.254999999999999
2015-09-03,1370.0,8.36
2015-09-04,162.0,8.344999999999999
2015-09-07,480.0,8.27
2015-09-08,1377.0,8.36
2015-09-09,597.0,8.465
2015-09-10,567.0,8.485
2015-09-11,444.0,8.475000000000001
2015-09-14,903.0,8.455
2015-09-15,2059.0,8.415
2015-09-16,456.0,8.41
2015-09-17,603.0,8.43
2015-09-18,728.0,8.36
2015-09-21,1318.0,8.219999999999999
2015-09-22,369.0,8.21
2015-09-23,908.0,8.27
2015-09-24,499.0,8.23
2015-09-25,3304.0,8.19
2015-09-28,1523.0,8.135
2015-09-29,3430.0,8.129999999999999
2015-09-30,2035.0,8.254999999999999
2015-10-01,558.0,8.36
2015-10-02,570.0,8.325
2015-10-05,1459.0,8.385000000000002
2015-10-06,1926.0,8.385000000000002
2015-10-07,1784.0,8.34
2015-10-08,2533.0,8.305
2015-10-09,1347.0,8.425
2015-10-12,371.0,8.5
2015-10-13,957.0,8.49
2015-10-14,650.0,8.565
2015-10-15,1842.0,8.629999999999999
2015-10-16,651.0,8.58
2015-10-19,358.0,8.559999999999999
2015-10-20,343.0,8.58
2015-10-21,285.0,8.65
2015-10-22,263.0,8.64
2015-10-23,2347.0,8.745000000000001
2015-10-26,662.0,8.815
2015-10-27,2173.0,8.825
2015-10-28,4996.0,8.780000000000001
2015-10-29,510.0,8.8
2015-10-30,1111.0,8.825
2015-11-02,601.0,8.785
2015-11-03,1404.0,8.690000000000001
2015-11-04,1094.0,8.615
2015-11-05,1495.0,8.61
2015-11-06,1137.0,8.635
2015-11-09,1214.0,8.52
2015-11-10,2837.0,8.555
2015-11-11,1114.0,8.635
2015-11-12,1008.0,8.57
2015-11-13,330.0,8.54
2015-11-16,1082.0,8.635
2015-11-17,1963.0,8.739999999999998
2015-11-18,2007.0,8.754999999999999
2015-11-19,2523.0,8.775
2015-11-20,988.0,8.735
2015-11-23,2203.0,8.73
2015-11-24,2742.0,8.82
2015-11-25,967.0,8.81
2015-11-26,2880.0,8.780000000000001
2015-11-27,1419.0,8.75
2015-11-30,475.0,8.74
2015-12-01,750.0,8.74
2015-12-02,797.0,8.695
2015-12-03,1800.0,8.705
2015-12-04,11330.0,8.745
2015-12-07,8116.0,8.64
2015-12-08,1442.0,8.6
2015-12-09,2916.0,8.594999999999999
2015-12-10,3952.0,8.55
2015-12-11,2084.0,8.39
2015-12-14,4834.0,8.225
2015-12-15,471.0,8.43
2015-12-16,458.0,8.485
2015-12-17,438.0,8.395
2015-12-18,542.0,8.36
2015-12-21,175.0,8.42
2015-12-22,148.0,8.535
2015-12-23,50.0,8.545
2015-12-24,500.0,8.49
2015-12-28,30.0,8.585
2015-12-29,35.0,8.585
2015-12-30,87.0,8.52
2015-12-31,0.0,8.53
2016-01-04,179.0,8.434999999999999
2016-01-05,4350.0,8.335
