Bonds,,Date,XS0204395213,XS1084568762,XS1167308128,XS1048518358,XS0431928760
,,7/17/2019,NA,102.7,107.193,NA,NA
,,7/18/2019,NA,102.69,107.164,NA,NA
,,7/19/2019,NA,102.68,107.301,NA,NA
,,7/22/2019,NA,102.67,107.265,NA,NA
,,7/23/2019,NA,102.67,107.303,NA,NA
,,7/24/2019,NA,102.64,107.302,NA,NA
,,7/25/2019,NA,102.66,107.335,NA,NA
,,7/26/2019,NA,102.68,107.358,NA,NA
,,7/29/2019,NA,102.68,107.357,NA,NA
,,7/30/2019,NA,102.71,107.337,NA,NA
,,7/31/2019,NA,102.63,107.413,NA,NA
,,8/1/2019,NA,102.62,107.255,NA,NA
,,8/2/2019,NA,102.55,107.103,NA,NA
,,8/5/2019,NA,102.56,107.142,NA,NA
,,8/6/2019,NA,102.56,106.922,NA,NA
,,8/7/2019,NA,102.55,106.965,NA,NA
,,8/8/2019,NA,102.53,106.965,NA,NA
,,8/9/2019,NA,102.53,107.01,NA,NA
,,8/12/2019,NA,102.51,107.033,NA,NA
,,8/13/2019,NA,102.53,106.948,NA,NA
,,8/14/2019,NA,102.53,106.977,NA,NA
,,8/15/2019,NA,102.46,106.974,NA,NA
,,8/16/2019,NA,102.49,107.018,NA,NA
,,8/19/2019,NA,102.48,106.955,NA,NA
,,8/20/2019,NA,102.54,107.022,NA,NA
,,8/21/2019,NA,102.47,106.964,NA,NA
,,8/22/2019,NA,102.54,106.855,NA,NA
,,8/23/2019,NA,102.58,107.03,NA,NA
,,8/26/2019,NA,102.52,106.941,NA,NA
,,8/27/2019,NA,102.44,107.103,NA,NA
,,8/28/2019,NA,102.43,107.057,NA,NA
,,8/29/2019,NA,102.41,107.057,NA,NA
,,8/30/2019,NA,102.45,107.14,NA,NA
,,9/2/2019,NA,102.4,107.12,NA,NA
,,9/3/2019,NA,102.34,106.82,NA,NA
,,9/4/2019,NA,102.437,106.954,NA,NA
,,9/5/2019,NA,102.3,106.808,NA,NA
,,9/6/2019,NA,102.28,106.864,NA,NA
,,9/9/2019,NA,102.369,106.789,NA,NA
,,9/10/2019,NA,102.36,106.748,NA,NA
,,9/11/2019,NA,102.25,106.717,NA,NA
,,9/12/2019,NA,102.29,106.516,NA,NA
,,9/13/2019,NA,102.28,106.558,NA,NA
,,9/16/2019,NA,102.29,106.629,NA,NA
,,9/17/2019,NA,102.23,106.572,NA,NA
,,9/18/2019,NA,102.282,106.542,NA,NA
,,9/19/2019,NA,102.258,106.543,NA,NA
,,9/20/2019,NA,102.22,106.556,NA,NA
,,9/23/2019,NA,102.265,106.558,NA,NA
,,9/24/2019,NA,102.25,106.601,NA,NA
,,9/25/2019,NA,102.21,106.514,NA,NA
,,9/26/2019,NA,102.23,106.546,NA,NA
,,9/27/2019,NA,102.19,106.567,NA,NA
,,9/30/2019,NA,102.17,106.57,NA,NA
,,10/1/2019,NA,102.16,106.581,NA,NA
,,10/2/2019,NA,102.16,106.581,NA,NA
,,10/3/2019,NA,102.185,106.06,NA,NA
,,10/4/2019,NA,102.11,106.517,NA,NA
,,10/7/2019,NA,102.107,106.163,NA,NA
,,10/8/2019,NA,102.08,106.174,NA,NA
,,10/9/2019,NA,102.03,106.128,NA,NA
,,10/10/2019,NA,101.99,106.068,NA,NA
,,10/11/2019,NA,101.99,106.138,NA,NA
,,10/14/2019,NA,102,106.18,NA,NA
,,10/15/2019,NA,102,106.095,NA,NA
,,10/16/2019,NA,102,106.102,NA,NA
,,10/17/2019,NA,101.84,106.147,NA,NA
,,10/18/2019,NA,101.91,106.19,NA,NA
,,10/21/2019,NA,101.9,106.21,NA,NA
,,10/22/2019,NA,101.89,106.214,NA,NA
,,10/23/2019,NA,101.89,106.194,NA,NA
,,10/24/2019,NA,101.93,106.223,NA,NA
,,10/25/2019,NA,101.95,106.2,NA,NA
,,10/28/2019,NA,101.87,106.171,NA,NA
,,10/29/2019,NA,101.9,106.179,NA,NA
,,10/30/2019,NA,101.89,106.211,NA,NA
,,10/31/2019,NA,101.88,106.269,NA,NA
,,11/1/2019,NA,101.88,106.262,NA,NA
,,11/4/2019,NA,101.88,106.249,NA,NA
,,11/5/2019,NA,101.87,106.241,NA,NA
,,11/6/2019,NA,101.84,106.222,NA,NA
,,11/7/2019,NA,101.81,106.151,NA,NA
,,11/8/2019,NA,101.8,106.15,NA,NA
,,11/11/2019,NA,101.8,106.137,NA,NA
,,11/12/2019,NA,101.77,106.092,NA,NA
,,11/13/2019,NA,101.76,106.019,NA,NA
,,11/14/2019,NA,101.72,105.702,NA,NA
,,11/15/2019,NA,101.7,105.658,NA,NA
,,11/18/2019,NA,101.69,105.646,NA,NA
,,11/19/2019,NA,101.68,105.606,NA,NA
,,11/20/2019,NA,101.68,105.523,NA,NA
,,11/21/2019,NA,101.65,105.405,NA,NA
,,11/22/2019,NA,101.63,105.396,NA,NA
,,11/25/2019,NA,101.62,105.41,NA,NA
,,11/26/2019,NA,101.62,105.458,NA,NA
,,11/27/2019,NA,101.61,105.43,NA,NA
,,11/28/2019,NA,101.56,105.27,NA,NA
,,11/29/2019,NA,101.72,105.3,NA,NA
,,12/2/2019,NA,101.664,105.26,NA,NA
,,12/3/2019,NA,101.651,105.3,NA,NA
,,12/4/2019,NA,101.621,105.27,NA,NA
,,12/5/2019,NA,101.615,105.23,NA,NA
,,12/6/2019,NA,101.613,105.23,NA,NA
,,12/9/2019,NA,101.592,105.27,NA,NA
,,12/10/2019,NA,101.603,105.28,NA,NA
,,12/11/2019,NA,101.601,105.35,NA,NA
,,12/12/2019,NA,101.582,105.23,NA,NA
,,12/13/2019,NA,101.585,105.33,NA,NA
,,12/16/2019,NA,101.567,105.51,NA,NA
,,12/17/2019,NA,101.572,105.53,NA,NA
,,12/18/2019,NA,101.579,105.551,NA,NA
,,12/19/2019,NA,101.555,105.516,NA,NA
,,12/20/2019,NA,101.586,105.535,NA,NA
,,12/23/2019,NA,101.527,105.47,NA,NA
,,12/24/2019,NA,101.499,105.477,NA,NA
,,12/25/2019,NA,101.504,105.477,NA,NA
,,12/26/2019,NA,101.504,105.477,NA,NA
,,12/27/2019,NA,101.509,105.459,NA,NA
,,12/30/2019,NA,101.513,105.431,NA,NA
,,12/31/2019,NA,101.507,105.423,NA,NA
,,1/1/2020,NA,101.509,105.455,NA,NA
,,1/2/2020,NA,101.455,105.404,NA,NA
,,1/3/2020,NA,101.417,105.437,NA,NA
,,1/6/2020,NA,101.409,105.44,NA,NA
,,1/7/2020,NA,101.374,105.427,NA,NA
,,1/8/2020,NA,101.366,105.367,NA,NA
,,1/9/2020,NA,101.333,105.319,NA,NA
,,1/10/2020,NA,101.327,105.317,NA,NA
,,1/13/2020,NA,101.323,105.292,NA,NA
,,1/14/2020,NA,101.306,105.293,NA,NA
,,1/15/2020,NA,101.311,105.322,NA,NA
,,1/16/2020,NA,101.297,105.396,NA,NA
,,1/17/2020,NA,101.287,105.37,NA,NA
,,1/20/2020,NA,101.293,105.41,NA,NA
,,1/21/2020,NA,101.278,105.43,NA,NA
,,1/22/2020,NA,101.265,105.42,NA,NA
,,1/23/2020,NA,101.238,105.42,NA,NA
,,1/24/2020,NA,101.223,105.41,NA,NA
,,1/27/2020,NA,101.191,105.32,NA,NA
,,1/28/2020,NA,101.187,105.26,NA,NA
,,1/29/2020,NA,101.196,105.35,NA,NA
,,1/30/2020,NA,101.17,105.28,NA,NA
,,1/31/2020,NA,101.159,105.33,NA,NA
,,2/3/2020,NA,101.155,105.31,NA,NA
,,2/4/2020,NA,101.134,105.27,NA,NA
,,2/5/2020,NA,101.142,105.27,NA,NA
,,2/6/2020,NA,101.113,105.3,NA,NA
,,2/7/2020,NA,101.106,105.35,NA,NA
,,2/10/2020,NA,101.094,105.466,NA,NA
,,2/11/2020,NA,101.101,105.327,NA,NA
,,2/12/2020,NA,101.069,105.33,NA,NA
,,2/13/2020,NA,101.055,105.328,NA,NA
,,2/14/2020,NA,101.061,105.38,NA,NA
,,2/17/2020,NA,101.06,105.364,NA,NA
,,2/18/2020,NA,101.044,105.365,NA,NA
,,2/19/2020,NA,101.031,105.396,NA,NA
