Bonds,,Date,DE000A14J587,XS0214238239,DE000A1MA9H4,DE000A1R08U3
,,10/19/2018,104.17,NA,NA,NA
,,10/22/2018,104.15,NA,NA,NA
,,10/23/2018,104.08,NA,NA,NA
,,10/24/2018,103.92,NA,NA,NA
,,10/25/2018,103.62,NA,NA,NA
,,10/26/2018,103.03,NA,NA,NA
,,10/29/2018,103.06,NA,NA,NA
,,10/30/2018,103.03,NA,NA,NA
,,10/31/2018,102.82,NA,NA,NA
,,11/1/2018,102.72,NA,NA,NA
,,11/2/2018,102.53,NA,NA,NA
,,11/5/2018,102.52,NA,NA,NA
,,11/6/2018,102.72,NA,NA,NA
,,11/7/2018,102.58,NA,NA,NA
,,11/8/2018,102.78,NA,NA,NA
,,11/9/2018,101.52,NA,NA,NA
,,11/12/2018,101.04,NA,NA,NA
,,11/13/2018,100.66,NA,NA,NA
,,11/14/2018,100.11,NA,NA,NA
,,11/15/2018,99.9,NA,NA,NA
,,11/16/2018,99.98,NA,NA,NA
,,11/19/2018,98.87,NA,NA,NA
,,11/20/2018,97.75,NA,NA,NA
,,11/21/2018,97.74,NA,NA,NA
,,11/22/2018,97.56,NA,NA,NA
,,11/23/2018,97.3,NA,NA,NA
,,11/26/2018,97.94,NA,NA,NA
,,11/27/2018,98.03,NA,NA,NA
,,11/28/2018,98.23,NA,NA,NA
,,11/29/2018,98.2,NA,NA,NA
,,11/30/2018,98,NA,NA,NA
,,12/3/2018,98.03,NA,NA,NA
,,12/4/2018,97.598,NA,NA,NA
,,12/5/2018,97.57,NA,NA,NA
,,12/6/2018,97.41,NA,NA,NA
,,12/7/2018,97.58,NA,NA,NA
,,12/10/2018,97.6,NA,NA,NA
,,12/11/2018,97.78,NA,NA,NA
,,12/12/2018,97.88,NA,NA,NA
,,12/13/2018,98.16,NA,NA,NA
,,12/14/2018,98.48,NA,NA,NA
,,12/17/2018,98.48,NA,NA,NA
,,12/18/2018,98.18,NA,NA,NA
,,12/19/2018,97.9,NA,NA,NA
,,12/20/2018,98.18,NA,NA,NA
,,12/21/2018,97.98,NA,NA,NA
,,12/24/2018,97.2,NA,NA,NA
,,12/25/2018,97.265,NA,NA,NA
,,12/26/2018,97.265,NA,NA,NA
,,12/27/2018,97.73,NA,NA,NA
,,12/28/2018,97.067,NA,NA,NA
,,12/31/2018,97.367,NA,NA,NA
,,1/1/2019,97.411,NA,NA,NA
,,1/2/2019,97.73,NA,NA,NA
,,1/3/2019,97.73,NA,NA,NA
,,1/4/2019,97.48,NA,NA,NA
,,1/7/2019,97.6,NA,NA,NA
,,1/8/2019,97.7,NA,NA,NA
,,1/9/2019,97.67,NA,NA,NA
,,1/10/2019,97.62,NA,NA,NA
,,1/11/2019,97.86,NA,NA,NA
,,1/14/2019,97.78,NA,NA,NA
,,1/15/2019,97.98,NA,NA,NA
,,1/16/2019,98.1,NA,NA,NA
,,1/17/2019,98.78,NA,NA,NA
,,1/18/2019,98.349,NA,NA,NA
,,1/21/2019,99.48,NA,NA,NA
,,1/22/2019,99.68,NA,NA,NA
,,1/23/2019,99.68,NA,NA,NA
,,1/24/2019,99.98,NA,NA,NA
,,1/25/2019,100.39,NA,NA,NA
,,1/28/2019,100.09,NA,NA,NA
,,1/29/2019,101,NA,NA,NA
,,1/30/2019,101.53,NA,NA,NA
,,1/31/2019,101.69,NA,NA,NA
,,2/1/2019,101.48,NA,NA,NA
,,2/4/2019,101.78,NA,NA,NA
,,2/5/2019,102.23,NA,NA,NA
,,2/6/2019,102.22,NA,NA,NA
,,2/7/2019,101.92,NA,NA,NA
,,2/8/2019,102.14,NA,NA,NA
,,2/11/2019,101.38,NA,NA,NA
,,2/12/2019,99.77,NA,NA,NA
,,2/13/2019,99.76,NA,NA,NA
,,2/14/2019,100.2,NA,NA,NA
,,2/15/2019,100.48,NA,NA,NA
,,2/18/2019,98.48,NA,NA,NA
,,2/19/2019,97.96,NA,NA,NA
,,2/20/2019,97.24,NA,NA,NA
,,2/21/2019,96.98,NA,NA,NA
,,2/22/2019,97.05,NA,NA,NA
,,2/25/2019,97.32,NA,NA,NA
,,2/26/2019,97.78,NA,NA,NA
,,2/27/2019,98.24,NA,NA,NA
,,2/28/2019,98.48,NA,NA,NA
,,3/1/2019,98.68,NA,NA,NA
,,3/4/2019,99.46,NA,NA,NA
,,3/5/2019,99.82,NA,NA,NA
,,3/6/2019,99.74,NA,NA,NA
,,3/7/2019,99.48,NA,NA,NA
,,3/8/2019,99.48,NA,NA,NA
,,3/11/2019,99.25,NA,NA,NA
,,3/12/2019,99.52,NA,NA,NA
,,3/13/2019,99.74,NA,NA,NA
,,3/14/2019,100.12,NA,NA,NA
,,3/15/2019,100.38,NA,NA,NA
,,3/18/2019,100.22,NA,NA,NA
,,3/19/2019,100.62,NA,NA,NA
,,3/20/2019,100.56,NA,NA,NA
,,3/21/2019,100.28,NA,NA,NA
,,3/22/2019,100.18,NA,NA,NA
,,3/25/2019,100.08,NA,NA,NA
,,3/26/2019,100.46,NA,NA,NA
,,3/27/2019,100.58,NA,NA,NA
,,3/28/2019,100.56,NA,NA,NA
,,3/29/2019,100.88,NA,NA,NA
,,4/1/2019,101.38,NA,NA,NA
,,4/2/2019,101.58,NA,NA,NA
,,4/3/2019,101.56,NA,NA,NA
,,4/4/2019,101.18,NA,NA,NA
,,4/5/2019,101.53,NA,NA,NA
,,4/8/2019,101.78,NA,NA,NA
,,4/9/2019,101.333,NA,NA,NA
,,4/10/2019,101.76,NA,NA,NA
,,4/11/2019,102.02,NA,NA,NA
,,4/12/2019,101.89,NA,NA,NA
,,4/15/2019,102.32,NA,NA,NA
,,4/16/2019,102.44,NA,NA,NA
,,4/17/2019,103.12,NA,NA,NA
,,4/18/2019,103.58,NA,NA,NA
,,4/19/2019,102.902,NA,NA,NA
,,4/22/2019,102.959,NA,NA,NA
,,4/23/2019,103.58,NA,NA,NA
,,4/24/2019,103.62,NA,NA,NA
,,4/25/2019,103.53,NA,NA,NA
,,4/26/2019,103.41,NA,NA,NA
,,4/29/2019,103.33,NA,NA,NA
,,4/30/2019,103.22,NA,NA,NA
,,5/1/2019,103.134,NA,NA,NA
,,5/2/2019,102.86,NA,NA,NA
,,5/3/2019,102.46,NA,NA,NA
,,5/6/2019,101.9,NA,NA,NA
,,5/7/2019,101.97,NA,NA,NA
,,5/8/2019,100.26,NA,NA,NA
,,5/9/2019,100.12,NA,NA,NA
,,5/10/2019,101.78,NA,NA,NA
,,5/13/2019,101.01,NA,NA,NA
,,5/14/2019,101.03,NA,NA,NA
,,5/15/2019,100.78,NA,NA,NA
,,5/16/2019,100.88,NA,NA,NA
,,5/17/2019,100.92,NA,NA,NA
,,5/20/2019,101.53,NA,NA,NA
,,5/21/2019,101.48,NA,NA,NA
,,5/22/2019,101.28,NA,NA,NA
,,5/23/2019,100.72,NA,NA,NA
,,5/24/2019,100.48,NA,NA,NA
,,5/27/2019,100.4,NA,NA,NA
,,5/28/2019,100.8,NA,NA,NA
,,5/29/2019,100.2,NA,NA,NA
,,5/30/2019,100.25,NA,NA,NA
,,5/31/2019,99.78,NA,NA,NA
,,6/3/2019,99.42,NA,NA,NA
,,6/4/2019,99.81,NA,NA,NA
,,6/5/2019,99.86,NA,NA,NA
,,6/6/2019,99.78,NA,NA,NA
,,6/7/2019,100.1,NA,NA,NA
,,6/10/2019,100.087,NA,NA,NA
,,6/11/2019,100.32,NA,NA,NA
,,6/12/2019,100.38,NA,NA,NA
,,6/13/2019,100.28,NA,NA,NA
,,6/14/2019,100.38,NA,NA,NA
,,6/17/2019,100.38,NA,NA,NA
,,6/18/2019,100.92,NA,NA,NA
,,6/19/2019,101.359,NA,NA,NA
,,6/20/2019,101.9,NA,NA,NA
,,6/21/2019,102.1,NA,NA,NA
,,6/24/2019,102.28,NA,NA,NA
,,6/25/2019,102.58,NA,NA,NA
,,6/26/2019,102.58,NA,NA,NA
,,6/27/2019,103.08,NA,NA,NA
,,6/28/2019,103.12,NA,NA,NA
,,7/1/2019,103.23,NA,NA,NA
,,7/2/2019,103.2,NA,NA,NA
,,7/3/2019,104.06,NA,NA,NA
,,7/4/2019,104.78,NA,NA,NA
,,7/5/2019,104.26,NA,NA,NA
,,7/8/2019,104.28,NA,NA,NA
,,7/9/2019,103.78,NA,NA,NA
,,7/10/2019,103.86,NA,NA,NA
,,7/11/2019,103.84,NA,NA,NA
,,7/12/2019,103.78,NA,NA,NA
,,7/15/2019,103.72,NA,NA,NA
,,7/16/2019,103.82,NA,NA,NA
,,7/17/2019,103.78,NA,NA,NA
,,7/18/2019,103.78,NA,NA,NA
,,7/19/2019,103.78,NA,NA,NA
,,7/22/2019,103.9,NA,NA,NA
,,7/23/2019,103.85,NA,NA,NA
,,7/24/2019,104.02,NA,NA,NA
,,7/25/2019,104.12,NA,NA,NA
,,7/26/2019,104.28,NA,NA,NA
,,7/29/2019,104.51,NA,NA,NA
,,7/30/2019,104.28,NA,NA,NA
,,7/31/2019,104.38,NA,NA,NA
,,8/1/2019,104.38,NA,NA,NA
,,8/2/2019,104.3,NA,NA,NA
,,8/5/2019,103.7,NA,NA,NA
,,8/6/2019,103.96,NA,NA,NA
